X,Y,Z
42.36,19.35,"-21.42
"
29.17,18.74,"-30.15
"
21.61,15.08,"-30.82
"
19.78,12.15,"-25.15
"
21.24,13.24,"-15.99
"
24.23,20.87,"-3.66
"
31.49,27.65,"10.13
"
38.33,30.52,"19.59
"
40.1,27.16,"22.09
"
36.38,20.87,"18.49
"
31.86,12.33,"14.53
"
31.56,4.94,"11.84
"
37.29,-2.87,"11.35
"
40.53,-8.06,"8.85
"
40.22,-6.41,"4.27
"
35.64,2.69,"-0.37
"
30.33,13.06,"-0.85
"
31.68,18.31,"0.31
"
29.79,20.87,"2.93
"
26.31,20.39,"4.15
"
28.87,14.71,"5.80
"
35.95,7.75,"9.89
"
36.19,1.83,"15.44
"
29.91,-0.61,"14.89
"
15.26,4.09,"7.57
"
-1.59,12.76,"0.79
"
-18.86,22.16,"-1.77
"
-16.72,29.17,"1.95
"
-12.08,34.24,"11.84
"
0.43,32.29,"19.90
"
8.85,26.31,"21.67
"
9.22,17.21,"15.14
"
8,6.41,"2.56
"
7.57,-1.83,"-9.89
"
3.72,-5.19,"-18.74
"
-7.93,-0.37,"-22.95
"
-18.01,12.88,"-20.57
"
-25.02,29.17,"-12.82
"
-26.43,39.12,"-4.21
"
-19.04,31.68,"3.54
"
-8.85,13.18,"9.64
"
2.99,-6.84,"17.33
"
8.54,-15.26,"23.62
"
5.37,-10.44,"24.72
"
-0.67,-1.59,"21.18
"
-4.7,0.92,"13.55
"
-5.8,-12.21,"1.71
"
-7.08,-26.31,"-9.70
"
-7.39,-26.18,"-13.85
"
-5.25,-14.04,"-8.79
"
2.5,2.14,"1.83
"
9.95,11.29,"13.85
"
14.16,9.95,"22.28
"
15.75,1.65,"24.66
"
13.06,-7.39,"20.87
"
5.13,-14.34,"11.90
"
-1.16,-17.7,"0.61
"
-8.61,-20.94,"-11.35
"
-14.95,-28.26,"-21.97
"
-17.88,-35.58,"-26.25
"
-17.4,-33.14,"-24.29
"
-16.48,-19.71,"-12.94
"
-3.72,-3.23,"4.76
"
12.51,10.8,"25.27
"
25.63,18.25,"40.04
"
28.2,11.84,"41.81
"
21.36,-8.97,"31.31
"
12.33,-31.74,"17.52
"
2.99,-42.6,"7.39
"
-2.56,-37.96,"4.46
"
-4.15,-22.89,"8.36
"
-2.87,-8.91,"17.46
"
4.52,-3.05,"29.66
"
16.85,-3.11,"40.28
"
23.32,-7.69,"44.92
"
25.45,-21,"42.85
"
24.9,-36.25,"35.22
"
15.69,-46.88,"22.77
"
1.04,-52.12,"7.75
"
-11.96,-51.27,"-5.98
"
-23.01,-40.16,"-13.24
"
-28.26,-19.29,"-10.38
"
-21.55,1.77,"3.30
"
-3.48,14.59,"24.48
"
12.45,15.75,"45.47
"
23.62,12.21,"61.71
"
38.82,9.83,"72.39
"
47.91,12.15,"77.27
"
45.04,10.31,"75.99
"
41.14,6.71,"69.70
"
36.07,1.65,"59.02
"
24.96,-12.33,"42.54
"
11.47,-32.47,"23.25
"
3.85,-50.17,"3.36
"
-8.12,-56.52,"-14.83
"
-18.68,-41.75,"-28.81
"
-27.89,-9.89,"-35.10
"
-37.72,22.4,"-33.51
"
-40.04,44.56,"-27.59
"
-40.83,50.9,"-22.22
"
-46.57,42.11,"-14.77
"
-36.56,20.26,"-0.49
"
-8.06,-8.79,"20.51
"
23.44,-34.67,"41.32
"
