X,Y,Z
31.43,12.02,"-51.03
"
27.28,16.3,"-51.39
"
24.9,20.75,"-51.94
"
25.21,24.54,"-52.00
"
27.53,25.57,"-51.64
"
29.48,24.78,"-50.23
"
34.73,22.83,"-47.73
"
39.18,22.28,"-46.39
"
37.11,24.6,"-46.20
"
35.28,28.44,"-46.02
"
34.48,33.26,"-44.74
"
32.53,37.35,"-43.15
"
28.56,39.43,"-41.56
"
26.25,41.63,"-39.55
"
25.7,46.2,"-36.19
"
26.79,51.57,"-32.23
"
28.63,56.88,"-28.99
"
28.56,60.79,"-27.65
"
27.47,60.67,"-27.22
"
31.07,59.27,"-25.88
"
34.48,60.18,"-24.41
"
33.57,62.19,"-24.90
"
29.48,65.43,"-26.86
"
24.41,68.97,"-28.32
"
21.42,71.78,"-27.77
"
20.45,73.97,"-25.27
"
19.1,74.89,"-21.42
"
20.94,73.73,"-15.93
"
25.33,72.27,"-9.89
"
26.31,70.92,"-6.71
"
25.39,71.04,"-6.35
"
23.74,72.14,"-6.59
"
22.83,74.1,"-7.81
"
19.71,75.81,"-9.70
"
17.94,75.44,"-11.17
"
17.27,74.77,"-10.44
"
18.13,75.13,"-6.53
"
19.96,75.5,"-1.04
"
22.64,74.58,"3.60
"
23.5,71.9,"6.10
"
23.93,69.34,"6.65
"
23.93,69.46,"5.37
"
21.67,72.51,"2.14
"
18.25,75.2,"-1.53
"
19.23,75.2,"-3.48
"
20.51,73.73,"-2.56
"
21.18,70.98,"0.49
"
21.97,67.08,"5.00
"
22.16,65.37,"10.50
"
23.74,66.53,"15.69
"
23.38,69.34,"18.98
"
19.65,72.33,"18.80
"
12.39,73.79,"17.03
"
5.43,75.2,"16.48
"
-0.24,77.64,"18.74
"
-2.87,79.71,"22.71
"
-5.37,81.3,"26.55
"
-9.95,81.05,"28.50
"
-11.96,79.47,"30.33
"
-11.35,78.49,"33.45
"
-10.13,77.7,"37.29
"
-5.55,75.93,"41.75
"
1.65,71.23,"45.84
"
7.39,64.39,"48.34
"
9.95,56.09,"49.13
"
10.19,48.83,"47.73
"
8.61,46.14,"45.96
"
5.31,50.6,"46.26
"
2.75,57.19,"47.91
"
1.95,60.67,"50.29
"
3.48,59.2,"52.06
"
1.53,53.47,"54.50
"
4.64,49.44,"57.92
"
5.86,48.1,"60.42
"
7.02,47.61,"61.40
"
9.03,47.18,"61.04
"
10.25,45.53,"59.27
"
10.8,43.82,"57.62
"
9.4,43.52,"57.43
"
8.97,44.25,"58.47
"
8.06,45.23,"60.30
"
7.87,44.8,"62.07
"
7.63,42.24,"63.60
"
8.18,38.45,"64.82
"
7.08,34.67,"65.73
"
6.96,32.47,"66.53
"
7.02,32.41,"67.20
"
6.96,33.75,"67.20
"
5.98,33.69,"65.86
"
6.9,30.46,"64.45
"
10.07,25.63,"64.70
"
11.05,21.48,"66.41
"
11.72,17.82,"69.95
"
13.92,14.95,"75.13
"
16.11,13,"79.47
"
14.89,12.57,"80.81
"
11.84,12.57,"79.83
"
10.19,12.27,"76.78
"
7.39,11.05,"73.61
"
3.6,8.42,"73.06
"
3.05,4.76,"75.93
"
3.11,0.37,"81.36
"
6.77,-3.17,"88.75
"
11.54,-3.66,"95.21
"
13.06,-3.11,"97.66
"
15.99,-3.66,"95.46
"
16.24,-4.33,"88.93
"
10.99,-4.15,"80.99
"
5.62,-3.42,"75.13
"
6.04,-3.85,"74.83
"
9.22,-4.7,"79.35
"
9.34,-7.45,"84.41
"
11.47,-12.15,"88.44
"
16.3,-16.11,"89.17
"
10.31,-14.83,"89.17
"
10.56,-7.81,"87.95
"
5.37,-4.21,"86.12
"
10.25,-4.03,"83.31
"
11.54,-5.92,"78.98
"
9.03,-8.42,"73.91
"
5.43,-13.49,"71.23
"
6.47,-20.94,"73.12
"
12.15,-26.43,"78.55
"
17.58,-26,"84.17
"
19.47,-21.18,"86.24
"
17.03,-15.5,"82.76
"
13.92,-10.93,"74.83
"
13.79,-8.97,"65.31
"
13.67,-11.72,"55.36
"
10.31,-21.12,"47.97
"
6.77,-33.45,"47.85
"
13.06,-42.42,"57.43
"
21.61,-43.76,"71.11
"
26.49,-40.28,"79.35
"
27.1,-37.29,"77.82
"
24.41,-37.29,"68.24
"
19.71,-37.96,"56.64
"
18.98,-39.79,"47.06
"
13.67,-48.46,"40.71
"
14.34,-61.52,"42.91
"
23.56,-71.84,"54.08
"
34.18,-74.04,"65.61
"
36.56,-70.31,"69.21
"
34.24,-64.94,"64.03
"
31.86,-59.75,"53.96
"
31.19,-58.41,"40.89
"
30.94,-58.84,"26.49
"
25.7,-59.69,"13.79
"
15.44,-64.15,"8.12
"
15.44,-72.94,"14.40
"
27.65,-79.47,"28.99
"
41.38,-79.59,"41.08
"
45.9,-76.6,"41.99
"
41.93,-72.75,"32.10
"
37.35,-70.56,"17.21
"
38.39,-70.13,"2.32
"
43.03,-69.64,"-9.34
"
44.19,-69.64,"-18.55
"
40.65,-76.72,"-23.86
"
44.13,-87.52,"-20.14
"
54.5,-92.59,"-7.87
"
66.16,-88.99,"4.70
"
74.04,-82.46,"9.03
"
74.77,-77.76,"1.59
"
69.4,-75.56,"-13.18
"
63.72,-76.05,"-29.30
"
60.12,-75.2,"-40.95
"
56.4,-73,"-45.29
"
50.78,-75.32,"-43.82
"
49.93,-80.44,"-36.68
"
54.63,-80.14,"-25.94
"
61.34,-72.94,"-17.09
"
65.19,-63.84,"-15.87
"
65.73,-58.29,"-23.50
"
66.16,-59.63,"-36.62
"
64.21,-65.31,"-52.12
"
56.58,-68.48,"-65.12
"
49.01,-69.21,"-69.09
"
46.69,-67.99,"-62.56
"
48.4,-64.45,"-50.60
"
48.58,-58.53,"-39.43
"
48.71,-52.37,"-36.19
"
48.83,-48.03,"-43.15
"
50.35,-46.88,"-56.46
"
52.06,-49.74,"-69.52
"
56.46,-55.24,"-76.17
"
62.93,-60.79,"-75.87
"
70.62,-65.12,"-73.00
"
71.66,-68.05,"-70.56
"
66.71,-68.91,"-67.50
"
60.97,-64.58,"-62.81
"
54.57,-54.57,"-58.59
"
45.72,-41.81,"-58.47
"
38.09,-31.13,"-62.93
"
33.81,-26.61,"-70.43
"
35.03,-28.63,"-78.67
"
38.57,-34.12,"-85.69
"
40.89,-41.14,"-89.17
"
45.41,-47.3,"-86.49
"
51.45,-48.83,"-78.31
"
54.32,-44.31,"-67.93
"
51.45,-36.8,"-61.10
"
45.17,-29.42,"-60.73
"
38.39,-22.4,"-65.67
"
31.07,-14.16,"-73.91
"
22.03,-5.68,"-84.17
"
10.86,-0.61,"-93.20
"
2.93,1.77,"-96.80
"
0.18,4.46,"-95.15
"
-1.65,9.58,"-92.47
"
-7.14,15.63,"-91.55
"
-14.4,21,"-91.31
"
-17.88,25.7,"-91.00
"
-16.6,28.32,"-90.52
"
-15.5,25.02,"-92.29
"
-13.61,18.31,"-96.62
"
-10.68,16.17,"-101.14
"
-7.26,18.31,"-104.06
"
-2.32,19.53,"-104.49
"
3.66,17.4,"-101.14
"
10.44,13.79,"-93.87
"
16.97,13.24,"-84.47
"
17.82,16.6,"-75.68
"
17.15,21.97,"-70.01
"
15.26,27.71,"-69.34
"
9.03,34.55,"-73.36
"
0.49,42.54,"-79.65
"
-5.13,49.01,"-84.53
"
-2.2,50.54,"-84.47
"
8.12,47.55,"-79.04
"
20.87,41.99,"-70.50
"
32.35,35.52,"-60.97
"
43.09,30.7,"-52.12
"
50.11,29.17,"-45.04
"
54.57,29.85,"-42.48
"
51.21,33.08,"-42.60
"
47.36,36.44,"-42.79
"
46.88,38.82,"-41.44
"
47.91,40.89,"-40.22
"
45.78,42.11,"-39.43
"
46.63,41.75,"-38.09
"
50.72,41.87,"-37.29
"
51.51,44.01,"-37.54
"
49.44,47,"-38.21
"
48.46,48.52,"-37.17
"
49.99,49.56,"-33.63
"
51.64,50.78,"-28.69
"
51.39,53.83,"-23.93
"
47.42,57.98,"-20.45
"
41.81,60,"-18.31
"
40.59,60.73,"-17.64
"
38.7,63.05,"-17.88
"
34.73,67.2,"-19.35
"
32.29,69.27,"-20.81
"
34.73,68.18,"-20.20
"
37.05,66.77,"-16.17
"
37.48,68.36,"-9.70
"
35.34,71.23,"-3.54
"
31.68,73.85,"1.46
"
28.56,76.72,"4.46
"
22.4,80.02,"5.31
"
16.17,82.4,"5.19
"
12.08,82.34,"5.49
"
10.8,81.36,"7.02
"
12.51,81.85,"9.28
"
14.4,82.34,"10.56
"
16.48,82.28,"8.79
"
14.83,81.91,"4.64
"
12.15,80.26,"2.38
"
13.49,78.92,"5.07
"
16.3,79.04,"12.33
"
18.49,78.8,"21.67
"
21.48,76.97,"29.97
"
23.01,75.74,"34.55
"
19.53,77.88,"35.03
"
13.37,82.52,"32.35
"
6.04,86.18,"27.65
"
2.08,86.18,"22.89
"
1.71,84.35,"19.47
"
0.98,82.4,"18.92
"
2.56,80.38,"21.30
"
4.82,78.74,"26.86
"
8.79,76.29,"33.08
"
11.35,73.36,"37.17
"
9.28,70.07,"37.66
"
6.16,65.8,"36.80
"
4.76,64.27,"36.68
"
5.37,66.71,"37.60
"
2.5,73.24,"37.41
"
-2.87,77.94,"35.40
"
-7.69,79.28,"33.45
"
-10.25,77.21,"33.75
"
-9.16,70.8,"36.13
"
-5.19,62.93,"41.02
"
-1.59,58.9,"45.72
"
-1.16,57.62,"48.16
"
-0.37,56.46,"48.52
"
2.44,54.08,"47.30
"
3.54,52.61,"45.84
"
3.78,52.49,"44.74
"
3.36,52.31,"44.56
"
2.56,49.68,"45.96
"
3.72,46.2,"48.46
"
5.62,44.01,"51.51
"
7.14,42.91,"53.83
"
7.69,42.05,"55.05
"
6.71,40.16,"54.99
"
7.02,37.29,"53.41
"
6.1,36.32,"51.39
"
4.7,36.87,"49.99
"
4.7,36.87,"49.32
"
6.29,35.4,"50.11
"
6.29,33.51,"51.88
"
6.1,30.94,"55.24
"
8.61,29.42,"59.94
"
11.41,29.85,"63.11
"
10.25,30.94,"61.22
"
8.06,29.66,"55.11
"
4.94,27.22,"49.50
"
3.85,25.45,"48.34
"
3.54,26.37,"52.98
"
3.3,25.63,"60.49
"
6.53,20.69,"67.20
"
10.31,15.75,"71.90
"
13.24,14.34,"73.79
"
13,17.52,"72.39
"
8.48,20.94,"67.87
"
2.38,23.32,"63.35
"
-1.77,25.33,"61.77
"
-4.21,25.39,"63.05
"
-3.42,24.6,"65.55
"
-1.53,23.74,"67.93
"
0.18,22.52,"70.68
"
5.07,19.17,"72.39
"
8.61,15.93,"71.72
"
